Geography,Geographic Area Name,Estimate!!Total!!Total population,Margin of Error!!Total!!Total population,Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years),Margin of Error!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years)
1400000US06001400100,Census Tract 4001; Alameda County; California,3269,452,50.8,1.4
1400000US06001421100,Census Tract 4211; Alameda County; California,2108,230,56.3,3.4
1400000US06001421200,Census Tract 4212; Alameda County; California,3557,542,56.6,4.4
1400000US06001421300,Census Tract 4213; Alameda County; California,4011,406,54.3,2.3
1400000US06001421400,Census Tract 4214; Alameda County; California,1638,268,57.8,5.1
1400000US06001421500,Census Tract 4215; Alameda County; California,4064,530,46.6,3.0
1400000US06001421600,Census Tract 4216; Alameda County; California,3854,570,49.0,2.3
1400000US06001421700,Census Tract 4217; Alameda County; California,3421,446,37.7,6.1
1400000US06001421800,Census Tract 4218; Alameda County; California,2260,266,45.8,4.1
1400000US06001421900,Census Tract 4219; Alameda County; California,4141,550,41.3,3.7
1400000US06001422000,Census Tract 4220; Alameda County; California,2453,264,36.2,4.2
1400000US06001422100,Census Tract 4221; Alameda County; California,3200,359,42.8,4.6
1400000US06001422200,Census Tract 4222; Alameda County; California,3280,612,37.7,4.4
1400000US06001422300,Census Tract 4223; Alameda County; California,3567,477,37.4,5.5
1400000US06001422400,Census Tract 4224; Alameda County; California,4187,757,29.0,1.6
1400000US06001422500,Census Tract 4225; Alameda County; California,4467,572,26.3,2.0
1400000US06001422700,Census Tract 4227; Alameda County; California,4803,496,21.0,0.4
1400000US06001422800,Census Tract 4228; Alameda County; California,8980,545,20.1,0.4
1400000US06001422901,Census Tract 4229.01; Alameda County; California,2024,627,22.8,6.6
1400000US06001422902,Census Tract 4229.02; Alameda County; California,3022,642,22.7,3.3
1400000US06001423000,Census Tract 4230; Alameda County; California,4549,851,41.1,7.5
1400000US06001423100,Census Tract 4231; Alameda County; California,4275,616,40.2,5.3
1400000US06001423200,Census Tract 4232; Alameda County; California,3003,520,38.2,4.8
1400000US06001423300,Census Tract 4233; Alameda County; California,3476,588,39.8,3.8
1400000US06001423400,Census Tract 4234; Alameda County; California,5551,779,34.1,2.4
1400000US06001423500,Census Tract 4235; Alameda County; California,3540,464,35.8,4.6
1400000US06001423601,Census Tract 4236.01; Alameda County; California,2738,457,40.3,4.8
1400000US06001423602,Census Tract 4236.02; Alameda County; California,7198,1437,21.9,1.4
1400000US06001423700,Census Tract 4237; Alameda County; California,3606,591,28.2,3.1
1400000US06001423800,Census Tract 4238; Alameda County; California,3425,337,49.5,5.9
1400000US06001423901,Census Tract 4239.01; Alameda County; California,2258,319,35.8,3.1
1400000US06001423902,Census Tract 4239.02; Alameda County; California,1512,198,37.8,2.6
1400000US06001424001,Census Tract 4240.01; Alameda County; California,3631,503,32.5,3.4
1400000US06001424002,Census Tract 4240.02; Alameda County; California,2663,323,36.2,2.7
1400000US06001425101,Census Tract 4251.01; Alameda County; California,1754,225,44.4,2.9
1400000US06001425102,Census Tract 4251.02; Alameda County; California,3969,344,32.2,1.8
1400000US06001425103,Census Tract 4251.03; Alameda County; California,3103,340,37.2,1.5
1400000US06001425104,Census Tract 4251.04; Alameda County; California,4014,511,34.5,3.6
1400000US06001426100,Census Tract 4261; Alameda County; California,6300,506,43.2,4.4
1400000US06001426200,Census Tract 4262; Alameda County; California,4861,504,46.4,4.0
1400000US06001427100,Census Tract 4271; Alameda County; California,4222,442,42.8,1.9
1400000US06001427200,Census Tract 4272; Alameda County; California,4508,617,37.8,2.8
1400000US06001427300,Census Tract 4273; Alameda County; California,5283,882,36.8,3.8
1400000US06001427600,Census Tract 4276; Alameda County; California,4740,524,35.2,3.5
1400000US06001427700,Census Tract 4277; Alameda County; California,5009,796,41.5,2.0
1400000US06001427800,Census Tract 4278; Alameda County; California,4274,458,38.7,2.3
1400000US06001427900,Census Tract 4279; Alameda County; California,4686,689,44.5,2.5
1400000US06001428000,Census Tract 4280; Alameda County; California,2906,544,35.1,3.6
1400000US06001428100,Census Tract 4281; Alameda County; California,4866,701,43.2,4.6
1400000US06001428200,Census Tract 4282; Alameda County; California,6475,608,43.2,7.0
1400000US06001428301,Census Tract 4283.01; Alameda County; California,7203,898,39.5,2.5
1400000US06001428302,Census Tract 4283.02; Alameda County; California,7022,767,49.1,2.5
1400000US06001428400,Census Tract 4284; Alameda County; California,4756,619,42.1,2.2
1400000US06001428500,Census Tract 4285; Alameda County; California,3302,393,38.6,3.0
1400000US06001428600,Census Tract 4286; Alameda County; California,3235,443,47.7,6.1
1400000US06001428700,Census Tract 4287; Alameda County; California,5078,522,33.4,2.1
1400000US06001430101,Census Tract 4301.01; Alameda County; California,7034,851,41.9,8.9
1400000US06001430102,Census Tract 4301.02; Alameda County; California,2459,224,49.3,4.3
1400000US06001430200,Census Tract 4302; Alameda County; California,7713,712,45.7,4.1
1400000US06001430300,Census Tract 4303; Alameda County; California,4290,625,39.2,3.2
1400000US06001430400,Census Tract 4304; Alameda County; California,2155,248,42.1,3.1
1400000US06001430500,Census Tract 4305; Alameda County; California,6250,1034,38.2,4.0
1400000US06001430600,Census Tract 4306; Alameda County; California,6244,965,47.8,4.2
1400000US06001430700,Census Tract 4307; Alameda County; California,4085,406,42.2,2.4
1400000US06001430800,Census Tract 4308; Alameda County; California,5814,739,42.0,4.6
1400000US06001430900,Census Tract 4309; Alameda County; California,5214,713,38.9,4.8
1400000US06001431000,Census Tract 4310; Alameda County; California,3091,481,39.8,5.6
1400000US06001431100,Census Tract 4311; Alameda County; California,3259,509,38.3,2.9
1400000US06001431200,Census Tract 4312; Alameda County; California,5865,521,40.6,3.8
1400000US06001432100,Census Tract 4321; Alameda County; California,3892,550,38.8,5.3
1400000US06001432200,Census Tract 4322; Alameda County; California,3987,615,41.3,3.7
1400000US06001432300,Census Tract 4323; Alameda County; California,4874,457,43.8,7.2
1400000US06001432400,Census Tract 4324; Alameda County; California,6346,929,36.8,5.0
1400000US06001432501,Census Tract 4325.01; Alameda County; California,4892,663,40.2,2.4
1400000US06001432502,Census Tract 4325.02; Alameda County; California,5126,801,33.6,3.8
1400000US06001432601,Census Tract 4326.01; Alameda County; California,4092,780,37.5,4.4
1400000US06001432602,Census Tract 4326.02; Alameda County; California,3123,445,42.2,5.2
1400000US06001432700,Census Tract 4327; Alameda County; California,2755,563,41.9,3.8
1400000US06001432800,Census Tract 4328; Alameda County; California,3862,579,46.7,5.7
1400000US06001433000,Census Tract 4330; Alameda County; California,3799,460,43.2,6.3
1400000US06001433102,Census Tract 4331.02; Alameda County; California,4445,806,41.4,1.9
1400000US06001433103,Census Tract 4331.03; Alameda County; California,3552,610,39.8,6.0
1400000US06001433104,Census Tract 4331.04; Alameda County; California,4398,590,40.2,7.6
1400000US06001433200,Census Tract 4332; Alameda County; California,8120,1285,38.4,4.4
1400000US06001433300,Census Tract 4333; Alameda County; California,7367,927,45.2,4.3
1400000US06001433400,Census Tract 4334; Alameda County; California,6040,991,41.5,2.7
1400000US06001433500,Census Tract 4335; Alameda County; California,4311,732,46.7,7.2
1400000US06001433600,Census Tract 4336; Alameda County; California,5844,646,48.5,2.2
1400000US06001433700,Census Tract 4337; Alameda County; California,3125,470,36.9,2.9
1400000US06001433801,Census Tract 4338.01; Alameda County; California,3528,607,45.0,5.5
1400000US06001433802,Census Tract 4338.02; Alameda County; California,4301,650,40.3,3.4
1400000US06001433900,Census Tract 4339; Alameda County; California,7187,1004,30.4,0.5
1400000US06001434000,Census Tract 4340; Alameda County; California,5166,602,37.4,4.5
1400000US06001435102,Census Tract 4351.02; Alameda County; California,6137,604,32.7,2.4
1400000US06001435103,Census Tract 4351.03; Alameda County; California,7774,1027,47.3,4.0
1400000US06001435104,Census Tract 4351.04; Alameda County; California,6856,1007,32.5,0.8
1400000US06001435200,Census Tract 4352; Alameda County; California,4647,571,46.8,5.0
1400000US06001435300,Census Tract 4353; Alameda County; California,4812,534,45.2,8.0
1400000US06001435400,Census Tract 4354; Alameda County; California,5048,633,35.7,2.6
1400000US06001435500,Census Tract 4355; Alameda County; California,4153,677,37.9,3.4
1400000US06001435601,Census Tract 4356.01; Alameda County; California,5449,750,36.6,3.8
1400000US06001435602,Census Tract 4356.02; Alameda County; California,5671,586,39.0,3.9
1400000US06001435700,Census Tract 4357; Alameda County; California,4819,536,47.2,4.1
1400000US06001435800,Census Tract 4358; Alameda County; California,5687,539,41.5,3.0
1400000US06001435900,Census Tract 4359; Alameda County; California,5290,850,41.6,5.4
1400000US06001436000,Census Tract 4360; Alameda County; California,5114,609,37.8,2.5
1400000US06001436100,Census Tract 4361; Alameda County; California,5765,1012,38.8,4.9
1400000US06001436200,Census Tract 4362; Alameda County; California,4128,587,33.7,2.2
1400000US06001436301,Census Tract 4363.01; Alameda County; California,5255,791,36.4,1.9
1400000US06001436302,Census Tract 4363.02; Alameda County; California,3932,492,38.7,2.3
1400000US06001436402,Census Tract 4364.02; Alameda County; California,2688,431,51.1,6.2
1400000US06001436403,Census Tract 4364.03; Alameda County; California,4519,757,37.5,3.1
1400000US06001436404,Census Tract 4364.04; Alameda County; California,3232,473,47.1,9.9
1400000US06001436500,Census Tract 4365; Alameda County; California,5289,631,32.1,2.8
1400000US06001436601,Census Tract 4366.01; Alameda County; California,6634,774,36.8,2.1
1400000US06001436602,Census Tract 4366.02; Alameda County; California,5255,660,32.9,1.9
1400000US06001436700,Census Tract 4367; Alameda County; California,3367,470,34.3,2.7
1400000US06001436800,Census Tract 4368; Alameda County; California,4196,592,37.6,3.8
1400000US06001436900,Census Tract 4369; Alameda County; California,6403,687,36.1,2.7
1400000US06001437000,Census Tract 4370; Alameda County; California,3471,550,40.6,6.6
1400000US06001437101,Census Tract 4371.01; Alameda County; California,7960,736,42.1,2.4
1400000US06001437102,Census Tract 4371.02; Alameda County; California,4457,616,43.5,4.4
1400000US06001437200,Census Tract 4372; Alameda County; California,8491,1021,39.3,4.7
1400000US06001437300,Census Tract 4373; Alameda County; California,3135,373,40.8,2.4
1400000US06001437400,Census Tract 4374; Alameda County; California,3733,439,38.5,3.0
1400000US06001437500,Census Tract 4375; Alameda County; California,4172,508,35.3,3.8
1400000US06001437600,Census Tract 4376; Alameda County; California,3455,526,41.5,4.7
1400000US06001437701,Census Tract 4377.01; Alameda County; California,3597,729,30.5,2.4
1400000US06001437702,Census Tract 4377.02; Alameda County; California,3880,636,28.2,2.7
1400000US06001437800,Census Tract 4378; Alameda County; California,4940,696,34.0,4.9
1400000US06001437900,Census Tract 4379; Alameda County; California,2032,324,31.3,1.3
1400000US06001438000,Census Tract 4380; Alameda County; California,3645,578,39.2,7.5
1400000US06001438100,Census Tract 4381; Alameda County; California,7953,1284,39.4,3.8
1400000US06001438201,Census Tract 4382.01; Alameda County; California,4895,642,36.4,3.0
1400000US06001438203,Census Tract 4382.03; Alameda County; California,4091,622,43.2,4.8
1400000US06001438204,Census Tract 4382.04; Alameda County; California,6371,694,48.5,6.3
1400000US06001438300,Census Tract 4383; Alameda County; California,3899,419,39.4,2.4
1400000US06001438400,Census Tract 4384; Alameda County; California,2671,391,46.3,3.1
1400000US06001440100,Census Tract 4401; Alameda County; California,2661,262,46.1,3.7
1400000US06001440200,Census Tract 4402; Alameda County; California,5641,664,36.2,3.0
1400000US06001440301,Census Tract 4403.01; Alameda County; California,7074,1071,39.9,3.3
1400000US06001440304,Census Tract 4403.04; Alameda County; California,4662,636,44.2,4.2
1400000US06001440305,Census Tract 4403.05; Alameda County; California,4064,527,42.6,2.6
1400000US06001440306,Census Tract 4403.06; Alameda County; California,3787,383,37.7,4.6
1400000US06001440307,Census Tract 4403.07; Alameda County; California,4481,930,45.6,4.8
1400000US06001440308,Census Tract 4403.08; Alameda County; California,6011,700,47.2,4.8
1400000US06001440331,Census Tract 4403.31; Alameda County; California,3276,384,39.0,2.8
1400000US06001440332,Census Tract 4403.32; Alameda County; California,3203,343,44.9,2.7
1400000US06001440333,Census Tract 4403.33; Alameda County; California,2732,399,48.4,5.0
1400000US06001440334,Census Tract 4403.34; Alameda County; California,4041,690,44.9,4.4
1400000US06001440336,Census Tract 4403.36; Alameda County; California,4248,487,39.6,4.7
1400000US06001440337,Census Tract 4403.37; Alameda County; California,2852,494,45.3,3.3
1400000US06001440338,Census Tract 4403.38; Alameda County; California,4095,902,31.2,1.9
1400000US06001441100,Census Tract 4411; Alameda County; California,4632,609,46.1,7.0
1400000US06001441200,Census Tract 4412; Alameda County; California,7354,905,42.4,2.2
1400000US06001441301,Census Tract 4413.01; Alameda County; California,3330,385,35.9,3.6
1400000US06001441302,Census Tract 4413.02; Alameda County; California,5828,592,41.0,2.0
1400000US06001441401,Census Tract 4414.01; Alameda County; California,7549,819,37.5,1.3
1400000US06001441402,Census Tract 4414.02; Alameda County; California,5344,560,45.3,1.8
1400000US06001441501,Census Tract 4415.01; Alameda County; California,5723,688,45.3,3.2
1400000US06001441503,Census Tract 4415.03; Alameda County; California,7416,779,37.5,1.8
1400000US06001441521,Census Tract 4415.21; Alameda County; California,6016,706,40.8,2.9
1400000US06001441522,Census Tract 4415.22; Alameda County; California,5275,553,38.6,2.1
1400000US06001441523,Census Tract 4415.23; Alameda County; California,4264,605,35.0,1.3
1400000US06001441524,Census Tract 4415.24; Alameda County; California,4111,511,35.8,2.2
1400000US06001441525,Census Tract 4415.25; Alameda County; California,1603,328,30.8,2.1
1400000US06001441601,Census Tract 4416.01; Alameda County; California,4774,536,42.4,5.3
1400000US06001441602,Census Tract 4416.02; Alameda County; California,7509,963,34.9,3.6
1400000US06001441701,Census Tract 4417.01; Alameda County; California,3884,603,34.0,5.1
1400000US06001441702,Census Tract 4417.02; Alameda County; California,5037,735,36.8,3.6
1400000US06001441800,Census Tract 4418; Alameda County; California,6209,817,38.2,1.6
1400000US06001441921,Census Tract 4419.21; Alameda County; California,3849,468,31.4,1.3
1400000US06001441923,Census Tract 4419.23; Alameda County; California,5777,781,35.2,1.4
1400000US06001441924,Census Tract 4419.24; Alameda County; California,7199,931,33.9,3.1
1400000US06001441926,Census Tract 4419.26; Alameda County; California,4210,457,34.9,1.5
1400000US06001441927,Census Tract 4419.27; Alameda County; California,4229,631,33.5,3.5
1400000US06001441928,Census Tract 4419.28; Alameda County; California,3736,463,37.0,2.3
1400000US06001441929,Census Tract 4419.29; Alameda County; California,3064,520,31.7,1.0
1400000US06001442000,Census Tract 4420; Alameda County; California,2979,433,47.3,3.3
1400000US06001442100,Census Tract 4421; Alameda County; California,5327,668,44.6,3.5
1400000US06001442200,Census Tract 4422; Alameda County; California,7293,795,40.3,1.9
1400000US06001442301,Census Tract 4423.01; Alameda County; California,5397,624,38.3,2.1
1400000US06001442302,Census Tract 4423.02; Alameda County; California,6186,819,36.2,1.6
1400000US06001442400,Census Tract 4424; Alameda County; California,6417,869,36.1,3.2
1400000US06001442501,Census Tract 4425.01; Alameda County; California,3280,685,43.9,5.6
1400000US06001442502,Census Tract 4425.02; Alameda County; California,3866,756,40.9,10.1
1400000US06001442601,Census Tract 4426.01; Alameda County; California,3924,909,38.5,5.4
1400000US06001442602,Census Tract 4426.02; Alameda County; California,4663,616,41.6,4.3
1400000US06001442700,Census Tract 4427; Alameda County; California,3139,528,40.4,1.9
1400000US06001442800,Census Tract 4428; Alameda County; California,3115,380,37.4,2.1
1400000US06001442900,Census Tract 4429; Alameda County; California,7780,1010,38.8,1.2
1400000US06001443001,Census Tract 4430.01; Alameda County; California,2762,351,38.9,4.0
1400000US06001443002,Census Tract 4430.02; Alameda County; California,6599,724,41.5,1.2
1400000US06001443102,Census Tract 4431.02; Alameda County; California,4816,511,45.0,2.4
1400000US06001443103,Census Tract 4431.03; Alameda County; California,4125,703,47.6,4.3
1400000US06001443104,Census Tract 4431.04; Alameda County; California,5567,689,41.7,3.9
1400000US06001443105,Census Tract 4431.05; Alameda County; California,4668,606,45.4,2.6
1400000US06001443200,Census Tract 4432; Alameda County; California,3611,679,48.0,7.1
1400000US06001443301,Census Tract 4433.01; Alameda County; California,4399,535,43.4,2.8
1400000US06001443321,Census Tract 4433.21; Alameda County; California,3372,483,36.6,2.3
1400000US06001443322,Census Tract 4433.22; Alameda County; California,3311,340,41.4,2.7
1400000US06001444100,Census Tract 4441; Alameda County; California,7211,912,46.5,4.1
1400000US06001444200,Census Tract 4442; Alameda County; California,6782,752,40.8,3.3
1400000US06001444301,Census Tract 4443.01; Alameda County; California,3698,509,40.5,2.8
1400000US06001444303,Census Tract 4443.03; Alameda County; California,0,13,-,**
1400000US06001444304,Census Tract 4443.04; Alameda County; California,6408,768,32.9,0.7
1400000US06001444400,Census Tract 4444; Alameda County; California,5367,660,35.3,2.8
1400000US06001444500,Census Tract 4445; Alameda County; California,6988,855,31.0,2.8
1400000US06001444601,Census Tract 4446.01; Alameda County; California,6081,670,37.9,2.7
1400000US06001444602,Census Tract 4446.02; Alameda County; California,4935,510,37.4,2.3
1400000US06001450101,Census Tract 4501.01; Alameda County; California,6883,695,33.1,2.6
1400000US06001450102,Census Tract 4501.02; Alameda County; California,7376,681,36.0,1.4
1400000US06001450200,Census Tract 4502; Alameda County; California,5272,670,36.9,2.3
1400000US06001450300,Census Tract 4503; Alameda County; California,5374,597,36.1,3.3
1400000US06001450400,Census Tract 4504; Alameda County; California,7886,751,37.6,3.2
1400000US06001450501,Census Tract 4505.01; Alameda County; California,3400,347,40.5,3.0
1400000US06001450502,Census Tract 4505.02; Alameda County; California,6266,666,45.2,4.3
1400000US06001450601,Census Tract 4506.01; Alameda County; California,3666,338,51.0,2.8
1400000US06001450603,Census Tract 4506.03; Alameda County; California,4897,613,39.4,2.7
1400000US06001450604,Census Tract 4506.04; Alameda County; California,4993,435,44.0,3.1
1400000US06001450605,Census Tract 4506.05; Alameda County; California,3814,363,43.8,1.7
1400000US06001450606,Census Tract 4506.06; Alameda County; California,6028,620,44.3,2.1
1400000US06001450607,Census Tract 4506.07; Alameda County; California,5182,736,37.3,3.4
1400000US06001450608,Census Tract 4506.08; Alameda County; California,4658,597,40.5,5.7
